,Unnamed: 0,url,price,course_by,title,skills,ratings,reviews,"level, type and duration",clean_title
91,91,https://www.coursera.org/learn/computational-neuroscience,Free,University of Washington,Computational Neuroscience,"Data Science, Machine Learning, Artificial Neural Networks, Python Programming, Statistical Programming, Matlab, Reinforcement Learning, Business Psychology, Communication, Computer Networking, Computer Programming, Data Analysis, Data Analysis Software, Deep Learning, Entrepreneurship, General Statistics, Linear Algebra, Machine Learning Algorithms, Mathematics, Network Model, Probability & Statistics, Probability Distribution",4.6,(1k reviews),Beginner · Course · 1-3 Months,Computational Neuroscience
92,92,https://www.coursera.org/learn/microeconomics,Free,University of Illinois at Urbana-Champaign,Microeconomics Principles,"Entrepreneurship, Market Research, Research and Design, Accounting, General Accounting, Critical Thinking",4.8,(2.7k reviews),Beginner · Course · 1-3 Months,Microeconomics Principles
93,93,https://www.coursera.org/learn/einstein-relativity,Free,Stanford University,Understanding Einstein: The Special Theory of Relativity,"Leadership and Management, Problem Solving, Mathematics, Algebra",4.9,(2.9k reviews),Beginner · Course · 1-3 Months,Understanding Einstein Special Theory Relativity
94,94,https://www.coursera.org/learn/global-energy,Free,Sciences Po,Politics and Economics of International Energy,"Finance, Regulations and Compliance",4.7,(1.7k reviews),Beginner · Course · 1-3 Months,Politics Economics International Energy
95,95,https://www.coursera.org/learn/schizophrenia,Free,Wesleyan University,Schizophrenia,,4.8,(1.9k reviews),Intermediate · Course · 1-3 Months,Schizophrenia
96,96,https://www.coursera.org/learn/innovation-through-design,Free,The University of Sydney,"Innovation Through Design: Think, Make, Break, Repeat","Critical Thinking, Design and Product, Entrepreneurship, Innovation, Leadership and Management, Problem Solving, Product Design, Product Management, Research and Design, Strategy and Operations, Technical Product Management, Business Analysis, Persona Research, Human Computer Interaction, User Experience",4.8,(1.5k reviews),Beginner · Course · 1-3 Months,Innovation Design Think Make Break Repeat
97,97,https://www.coursera.org/learn/nutrition-pregnancy,Free,Ludwig-Maximilians-Universität München (LMU),Nutrition and Lifestyle in Pregnancy,,4.8,(2.8k reviews),Intermediate · Course · 1-4 Weeks,Nutrition Lifestyle Pregnancy
98,98,https://www.coursera.org/learn/corp-sustainability,Free,Università Bocconi,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,"Adaptability, Business Analysis, Business Psychology, Business Transformation, Entrepreneurship, Leadership and Management, Organizational Development, Customer Analysis, Marketing, Sales, Strategy, Strategy and Operations",4.6,(703 reviews),Mixed · Course · 1-3 Months,Corporate Sustainability Understanding Seizing Strategic Opportunity
99,99,https://www.coursera.org/learn/conflict-transformation,Free,Emory University,Conflict Transformation,Communication,4.8,(377 reviews),Beginner · Course · 1-3 Months,Conflict Transformation
100,100,https://www.coursera.org/learn/quality-healthcare,Free,The George Washington University,Leading Healthcare Quality and Safety,"Leadership and Management, Strategy and Operations, Entrepreneurship, Problem Solving, Research and Design, Finance, Marketing, Risk Management, Sales, Strategy",4.7,(1.1k reviews),Beginner · Course · 1-3 Months,Leading Healthcare Quality Safety
101,101,https://www.coursera.org/learn/mental-health,Free,University of Toronto,The Social Context of Mental Health and Illness,,4.7,(481 reviews),Mixed · Course · 1-3 Months,Social Context Mental Health Illness
102,102,https://www.coursera.org/learn/dental-medicine-penn,Free,University of Pennsylvania,Introduction to Dental Medicine,"Epidemiology, Probability & Statistics",4.8,(1.3k reviews),Beginner · Course · 1-3 Months,Introduction Dental Medicine
103,103,https://www.coursera.org/learn/innovation-management,Free,Erasmus University Rotterdam,Innovation Management,"Entrepreneurship, Innovation, Leadership and Management, Research and Design, Human Resources, Big Data, Business Psychology, Data Management, People Development, Planning, Supply Chain and Logistics, Creativity, Design and Product, Product Development, Product Strategy",4.7,(1.8k reviews),Beginner · Course · 1-3 Months,Innovation Management
